Airportname,Year,longitude,latitude,month,value
Magadan (Falcon),2018,150.73116000000002,59.914272,1,0.0
Makhachkala (Uytash),2018,47.655707,42.820909,1,77.0
Mineral water,2018,43.087648,44.217799,1,94.96
Peaceful,2018,114.02243100000001,62.531381999999994,1,559.1
Moscow (Vnukovo),2018,37.295014,55.608562,1,3722.28
Moscow (Domodedovo),2018,37.767995,55.43716800000001,1,8302.24
Moscow (Sheremetyevo),2018,37.405974,55.962962,1,21304.8
Murmansk,2018,32.758163,68.784743,1,109.49
Nadym,2018,72.69258,65.479934,1,22.93
Nizhnevartovsk,2018,76.494691,60.951112,1,225.2
Nizhny Novgorod (Strigino),2018,43.791127,56.219628,1,44.47
Nikolaevsk-on-Amur,2018,140.663597,53.149961,1,4.0
Novokuznetsk,2018,86.864303,53.805377,1,111.1
Novosibirsk (Tolmachyovo),2018,82.667491,55.009425,1,1340.5
New Urengoy,2018,76.52242199999999,66.072965,1,232.2
Nogliki,2018,143.140926,51.788476,1,0.0
Norilsk,2018,87.342342,69.325039,1,651.24
Noyabrsk,2018,75.274455,63.181841000000006,1,32.72
Omolon,2018,160.545443,65.236944,1,0.0
Omsk (central),2018,73.007305,55.085528000000004,1,187.0
Omsukçan,2018,155.740193,62.459104,1,0.0
Orenburg (central),2018,55.457063,51.79139,1,93.45
Okha,2018,142.890431,53.517945,1,0.0
Okhotsk,2018,143.065575,59.413192,1,0.0
Perm (Bolshoye Savino),2018,56.010461,57.91611999999999,1,121.14
Petropavlovsk (Yelizovo),2018,158.425285,53.169328,1,389.37
Pauline Osipenko,2018,136.473657,52.438759999999995,1,0.0
Polar,2018,112.038215,66.400137,1,17.13
Samara (Kurumoch),2018,50.157667,53.512259,1,180.74
Saint Petersburg (Pulkovo),2018,30.273027000000003,59.799769999999995,1,1791.0
Saratov (central),2018,106.644236,47.454355,1,26.7
Sochi,2018,39.941316,43.448370000000004,1,137.67
Stavropol (Shpakovskoye),2018,42.105169000000004,45.112737,1,45.0
Strezhevoy,2018,77.64952,60.717273999999996,1,0.0
Surgut,2018,73.40807,61.34020400000001,1,195.68
